id,precision,condition,mix_level,cmi,n_words,tts_lang,wer,cer,synth_s,audio_s,rtf,peak_mb,text,heard
EN001,fp32,EN,,0.0,9,en,0.0,0.0,23.37,3.62,6.463,6017.6,"Excuse me, this train is running late this morning.","Excuse me, this train is running late this morning."
HI001,fp32,HI,,0.0,11,hi,0.18181818181818182,0.11363636363636363,26.29,5.61,4.686,6026.8,क्षमा करें यह ट्रेन आज सुबह देर से चल रही है,"शमा करें, यहाँ ट्रेन आज सुबह देर से चल रही है।"
EN002,fp32,EN,,0.0,10,en,0.0,0.0,20.74,3.89,5.326,6026.8,A new experiment was performed in the science class today.,A new experiment was performed in the science class today.
HI002,fp32,HI,,0.0,10,hi,0.8,1.173913043478261,50.2,10.86,4.623,6026.8,विज्ञान की कक्षा में आज एक नया प्रयोग किया गया,"विज्ञान की कक्षा में आज एक नया प्रयोग किया गया गएं, जियाए नानोर स्यादा हैं, मोगवडबार जिक्लारिंटी आसकिन।"
EN003,fp32,EN,,0.0,11,en,0.0,0.0,16.79,3.48,4.829,6026.8,She studied all night and took the exam in the morning.,She studied all night and took the exam in the morning.
HI003,fp32,HI,,0.0,10,hi,0.1,0.021739130434782608,25.15,5.47,4.596,6026.8,उसने पूरी रात पढ़ाई की और सुबह जाकर परीक्षा दी,उसने पूरी रात पढ़ाई की और सुबह जाकर परिक्षा दी.
EN004,fp32,EN,,0.0,9,en,0.0,0.0,13.87,3.06,4.529,6026.8,The children started playing cricket on the school ground.,The children started playing cricket on the school ground.
HI004,fp32,HI,,0.0,10,hi,0.0,0.0,22.96,5.01,4.579,6026.8,बच्चों ने स्कूल के मैदान में क्रिकेट खेलना शुरू किया,बच्चों ने स्कूल के मैदान में क्रिकेट खेलना शुरू किया।
EN005,fp32,EN,,0.0,10,en,0.0,0.0,15.5,3.42,4.525,6026.8,I really enjoyed reading this book from start to finish.,I really enjoyed reading this book from start to finish.
HI005,fp32,HI,,0.0,11,hi,0.6363636363636364,0.6458333333333334,37.46,8.17,4.584,6026.8,मुझे यह किताब शुरू से अंत तक पढ़कर बहुत आनंद आया,मुझे यह किताब अनसी आननोन से वोरंट है। किताब शुरू से अंत तक पढ़कर बहुत आनन्द आया।
EN006,fp32,EN,,0.0,10,en,0.0,0.0,15.03,3.24,4.635,6026.8,The doctor advised the patient to take the medicine daily.,The doctor advised the patient to take the medicine daily.
HI006,fp32,HI,,0.0,10,hi,0.2,0.046511627906976744,23.93,5.38,4.451,6026.8,डॉक्टर ने मरीज़ को रोज़ दवा लेने की सलाह दी,डॉक्टर ने मरीज को रोज दवा लेने की सलाह दी।
EN007,fp32,EN,,0.0,11,en,0.0,0.0,16.04,3.48,4.613,6026.8,The whole city was glowing with lights on the festival day.,The whole city was glowing with lights on the festival day.
HI007,fp32,HI,,0.0,10,hi,0.1,0.022222222222222223,27.27,5.89,4.631,6026.8,त्योहार के दिन पूरा शहर रोशनी से जगमगा रहा था,तियोहार के दिन पूरा शहर रोशनी से जगमगा रहा था।
EN008,fp32,EN,,0.0,8,en,0.0,0.0,16.66,3.66,4.554,6026.8,The government announced the new education policy yesterday.,The government announced the new education policy yesterday.
HI008,fp32,HI,,0.0,10,hi,0.2,0.07317073170731707,23.53,5.1,4.615,6026.8,सरकार ने नई शिक्षा नीति की घोषणा कल ही की,"सरकार ने नई शिक्षा नीती की घोशना, कल ही की."
EN009,fp32,EN,,0.0,9,en,0.0,0.0,16.87,3.71,4.544,6026.8,Drinking hot tea feels good during the cold season.,Drinking hot tea feels good during the cold season.
HI009,fp32,HI,,0.0,10,hi,0.1,0.023809523809523808,22.71,4.96,4.577,6026.8,ठंड के मौसम में गरम चाय पीना अच्छा लगता है,ठंड के मौसम में गरम चाई पीना अच्छा लगता है।
EN010,fp32,EN,,0.0,9,en,0.0,0.0,11.09,2.41,4.599,6026.8,They had sown a wheat crop in their field.,They had sown a wheat crop in their field.
HI010,fp32,HI,,0.0,9,hi,0.2222222222222222,0.0975609756097561,24.91,5.43,4.588,6026.8,उन्होंने अपने खेत में गेहूँ की फसल बोई थी,उन्होंने अपने खेत में गेहुं की फसल बोया थी।
EN011,fp32,EN,,0.0,10,en,0.0,0.0,14.51,3.15,4.61,6026.8,This road is very narrow so you should drive slowly.,This road is very narrow so you should drive slowly.
HI011,fp32,HI,,0.0,10,hi,0.1,0.0196078431372549,25.69,5.57,4.613,6026.8,यह रास्ता बहुत संकरा है इसलिए आपको धीरे चलाना चाहिए,"यह रास्ता बहुत संक्रा है, इसलिए आपको धीरे चलाना चाहिए।"
EN012,fp32,EN,,0.0,9,en,0.0,0.0,16.09,3.52,4.569,6026.8,The students studied quietly in the library all afternoon.,The students studied quietly in the library all afternoon.
HI012,fp32,HI,,0.0,10,hi,0.3,0.125,24.49,5.38,4.555,6026.8,छात्रों ने पुस्तकालय में शांति से पूरी दोपहर अध्ययन किया,छात्रों ने पुस्तकाले में शान्ती से पूरी दोपहर अध्यायावन किया।
EN013,fp32,EN,,0.0,10,en,0.0,0.0,15.97,3.42,4.665,6026.8,We went to our grandmother's house during the summer holidays.,We went to our grandmother's house during the summer holidays.
HI013,fp32,HI,,0.0,10,hi,0.0,0.0,22.97,5.1,4.505,6026.8,गर्मियों की छुट्टियों में हम अपनी नानी के घर गए,गर्मियों की छुट्टियों में हम अपनी नानी के घर गए।
EN014,fp32,EN,,0.0,8,en,0.0,0.0,15.37,3.38,4.546,6026.8,Scientists have discovered a new planet in space.,Scientists have discovered a new planet in space.
HI014,fp32,HI,,0.0,10,hi,0.1,0.0196078431372549,23.91,4.92,4.861,6026.8,वैज्ञानिकों ने अंतरिक्ष में एक नया ग्रह खोज लिया है,वैज्ञानीकों ने अंतरिक्ष में एक नया ग्रह खोज लिया है।
