id,condition,script,mix_level,cmi,n_words,text,parallel_id,features
EN001,EN,latin,,0.0,9,"Excuse me, this train is running late this morning.",P01,
HI001,HI,devanagari,,0.0,11,क्षमा करें यह ट्रेन आज सुबह देर से चल रही है,P01,"ksh, tr"
EN002,EN,latin,,0.0,10,A new experiment was performed in the science class today.,P02,
HI002,HI,devanagari,,0.0,10,विज्ञान की कक्षा में आज एक नया प्रयोग किया गया,P02,"gy, ksh, pr"
EN003,EN,latin,,0.0,11,She studied all night and took the exam in the morning.,P03,
HI003,HI,devanagari,,0.0,10,उसने पूरी रात पढ़ाई की और सुबह जाकर परीक्षा दी,P03,"rha, ksh"
EN004,EN,latin,,0.0,9,The children started playing cricket on the school ground.,P04,
HI004,HI,devanagari,,0.0,10,बच्चों ने स्कूल के मैदान में क्रिकेट खेलना शुरू किया,P04,"cch, kr"
EN005,EN,latin,,0.0,10,I really enjoyed reading this book from start to finish.,P05,
HI005,HI,devanagari,,0.0,11,मुझे यह किताब शुरू से अंत तक पढ़कर बहुत आनंद आया,P05,"rha, nasal"
EN006,EN,latin,,0.0,10,The doctor advised the patient to take the medicine daily.,P06,
HI006,HI,devanagari,,0.0,10,डॉक्टर ने मरीज़ को रोज़ दवा लेने की सलाह दी,P06,"retroflex, nukta"
EN007,EN,latin,,0.0,11,The whole city was glowing with lights on the festival day.,P07,
HI007,HI,devanagari,,0.0,10,त्योहार के दिन पूरा शहर रोशनी से जगमगा रहा था,P07,tyo
EN008,EN,latin,,0.0,8,The government announced the new education policy yesterday.,P08,
HI008,HI,devanagari,,0.0,10,सरकार ने नई शिक्षा नीति की घोषणा कल ही की,P08,"ksh, gh"
EN009,EN,latin,,0.0,9,Drinking hot tea feels good during the cold season.,P09,
HI009,HI,devanagari,,0.0,10,ठंड के मौसम में गरम चाय पीना अच्छा लगता है,P09,"tha, cch"
EN010,EN,latin,,0.0,9,They had sown a wheat crop in their field.,P10,
HI010,HI,devanagari,,0.0,9,उन्होंने अपने खेत में गेहूँ की फसल बोई थी,P10,"nasal, kh"
EN011,EN,latin,,0.0,10,This road is very narrow so you should drive slowly.,P11,
HI011,HI,devanagari,,0.0,10,यह रास्ता बहुत संकरा है इसलिए आपको धीरे चलाना चाहिए,P11,"nasal, dh"
EN012,EN,latin,,0.0,9,The students studied quietly in the library all afternoon.,P12,
HI012,HI,devanagari,,0.0,10,छात्रों ने पुस्तकालय में शांति से पूरी दोपहर अध्ययन किया,P12,"chh, tr, dhy"
EN013,EN,latin,,0.0,10,We went to our grandmother's house during the summer holidays.,P13,
HI013,HI,devanagari,,0.0,10,गर्मियों की छुट्टियों में हम अपनी नानी के घर गए,P13,"chh, tt"
EN014,EN,latin,,0.0,8,Scientists have discovered a new planet in space.,P14,
HI014,HI,devanagari,,0.0,10,वैज्ञानिकों ने अंतरिक्ष में एक नया ग्रह खोज लिया है,P14,"gy, ksh, gr"
EN015,EN,latin,,0.0,9,The match was cancelled today because of the rain.,P15,
HI015,HI,devanagari,,0.0,10,बारिश के कारण आज का मैच रद्द कर दिया गया,P15,dd
EN016,EN,latin,,0.0,9,Her voice was so sweet that everyone was enchanted.,P16,
HI016,HI,devanagari,,0.0,10,उसकी आवाज़ इतनी मधुर थी कि सब मंत्रमुग्ध हो गए,P16,"nukta, ntr"
EN017,EN,latin,,0.0,9,The farmers woke early and headed toward their fields.,P17,
HI017,HI,devanagari,,0.0,10,किसान सुबह जल्दी उठकर अपने खेतों की ओर निकल पड़े,P17,"tha, rha"
EN018,EN,latin,,0.0,10,The construction of this bridge was completed ten years ago.,P18,
HI018,HI,devanagari,,0.0,10,इस पुल का निर्माण दस वर्ष पहले ही पूरा हुआ,P18,"rm, rsh"
EN019,EN,latin,,0.0,8,He admitted his mistake and asked for forgiveness.,P19,
HI019,HI,devanagari,,0.0,10,उसने अपनी गलती स्वीकार की और माफ़ी भी मांग ली,P19,"sv, nasal, nukta"
EN020,EN,latin,,0.0,9,The roads closed because snow fell on the mountains.,P20,
HI020,HI,devanagari,,0.0,10,पहाड़ों पर बर्फ़ गिरने से सारे रास्ते बंद हो गए,P20,"rha, rf"
EN021,EN,latin,,0.0,8,I had a very scary dream last night.,P21,
HI021,HI,devanagari,,0.0,10,मैंने कल रात एक बहुत ही डरावना सपना देखा था,P21,nasal ai
EN022,EN,latin,,0.0,9,This ancient temple was built in the sixteenth century.,P22,
HI022,HI,devanagari,,0.0,9,यह प्राचीन मंदिर सोलहवीं शताब्दी में बनाया गया था,P22,"nasal, bd"
EN023,EN,latin,,0.0,9,The teacher asked everyone in class to listen carefully.,P23,
HI023,HI,devanagari,,0.0,10,अध्यापक ने कक्षा में सबको ध्यान से सुनने को कहा,P23,"dhy, ksh"
EN024,EN,latin,,0.0,11,He reached the office late because he was stuck in traffic.,P24,
HI024,HI,devanagari,,0.0,10,ट्रैफ़िक में फँसने के कारण वह दफ़्तर देर से पहुँचा,P24,"tr, nasal, nukta"
EN025,EN,latin,,0.0,8,We should plant trees to protect the environment.,P25,
HI025,HI,devanagari,,0.0,10,हमें पर्यावरण की रक्षा के लिए अधिक पेड़ लगाने चाहिए,P25,"ry, ksh, rha"
EN026,EN,latin,,0.0,10,He wrote a letter and sent it to his friend.,P26,
HI026,HI,devanagari,,0.0,10,उसने एक पत्र लिखकर अपने मित्र को भेज दिया था,P26,tr
EN027,EN,latin,,0.0,8,Vegetable prices in the market rose sharply today.,P27,
HI027,HI,devanagari,,0.0,10,बाज़ार में आज सब्ज़ियों के दाम बहुत बढ़ गए हैं,P27,"nukta, rha"
EN028,EN,latin,,0.0,9,The girl won first place in the dance competition.,P28,
HI028,HI,devanagari,,0.0,10,लड़की ने नृत्य प्रतियोगिता में पहला स्थान प्राप्त किया था,P28,"rha, nr, pr, sth"
EN029,EN,latin,,0.0,8,The fog is very dense on winter mornings.,P29,
HI029,HI,devanagari,,0.0,10,सर्दियों की सुबह कोहरा बहुत घना और सफ़ेद होता है,P29,"gh, nukta"
EN030,EN,latin,,0.0,10,They did not lose courage even in a difficult situation.,P30,
HI030,HI,devanagari,,0.0,9,उन्होंने कठिन परिस्थिति में भी अपनी हिम्मत नहीं हारी,P30,"tha, sth, nasal"
EN031,EN,latin,,0.0,8,Wheat and mustard are cultivated in this region.,P31,
HI031,HI,devanagari,,0.0,10,इस क्षेत्र में गेहूँ और सरसों की खेती होती है,P31,"ksh, tr, nasal"
EN032,EN,latin,,0.0,8,The child fell asleep immediately after drinking milk.,P32,
HI032,HI,devanagari,,0.0,10,बच्चा दूध पीने के तुरंत बाद गहरी नींद सो गया,P32,"cch, nasal"
EN033,EN,latin,,0.0,11,There is always a crowd of patients at the government hospital.,P33,
HI033,HI,devanagari,,0.0,10,सरकारी अस्पताल में मरीज़ों की भीड़ हमेशा लगी रहती है,P33,"nukta, rha"
EN034,EN,latin,,0.0,10,She gave her brother a watch as a birthday gift.,P34,
HI034,HI,devanagari,,0.0,10,उसने अपने भाई को जन्मदिन पर एक घड़ी उपहार दी,P34,"nm, rha"
EN035,EN,latin,,0.0,8,I felt very sad after watching this film.,P35,
HI035,HI,devanagari,,0.0,10,यह फ़िल्म देखने के बाद मुझे बहुत दुख हुआ था,P35,"nukta, kh"
EN036,EN,latin,,0.0,8,The villagers were busy preparing for the festival.,P36,
HI036,HI,devanagari,,0.0,10,गाँव के सभी लोग त्योहार की तैयारी में व्यस्त थे,P36,"nasal aa, tyo, vy"
EN037,EN,latin,,0.0,8,The court delivered its verdict in this case.,P37,
HI037,HI,devanagari,,0.0,10,न्यायालय ने इस पूरे मामले में अपना निर्णय सुना दिया,P37,"ny, rn"
EN038,EN,latin,,0.0,10,We sat on the roof and kept watching the stars.,P38,
HI038,HI,devanagari,,0.0,10,छत पर बैठकर हम देर तक तारों को देखते रहे,P38,"chh, tha"
EN039,EN,latin,,0.0,9,His hard work finally paid off in the end.,P39,
HI039,HI,devanagari,,0.0,10,उसकी मेहनत का फल उसे आख़िर में मिल ही गया,P39,"nukta, kh"
EN040,EN,latin,,0.0,11,There was a long queue of passengers at the railway station.,P40,
HI040,HI,devanagari,,0.0,10,रेलवे स्टेशन पर यात्रियों की बहुत लंबी कतार लगी थी,P40,"st, tr, nasal"
EN041,EN,latin,,0.0,8,Grandmother used to tell us stories every night.,P41,
HI041,HI,devanagari,,0.0,10,दादी माँ हर रात हमें नई कहानियाँ सुनाया करती थीं,P41,"nasal aa, iyaan"
EN042,EN,latin,,0.0,8,Rural areas will benefit greatly from this scheme.,P42,
HI042,HI,devanagari,,0.0,10,इस योजना से ग्रामीण क्षेत्रों को बहुत अधिक लाभ होगा,P42,"gr, ksh, tr"
EN043,EN,latin,,0.0,8,He wakes at five every morning and exercises.,P43,
HI043,HI,devanagari,,0.0,9,वह प्रतिदिन सुबह पाँच बजे उठकर व्यायाम करता है,P43,"pr, nasal aa, vy"
EN044,EN,latin,,0.0,10,The fishermen set out to catch fish in the sea.,P44,
HI044,HI,devanagari,,0.0,10,मछुआरे समुद्र में मछली पकड़ने सुबह ही निकल पड़े थे,P44,"chh, rha"
EN045,EN,latin,,0.0,8,This book has been translated into several languages.,P45,
HI045,HI,devanagari,,0.0,10,इस पुस्तक का अनुवाद अब तक कई भाषाओं में हुआ,P45,"st, sh"
EN046,EN,latin,,0.0,9,The contractor did not pay the workers on time.,P46,
HI046,HI,devanagari,,0.0,10,ठेकेदार ने मज़दूरों को समय पर वेतन नहीं दिया था,P46,"tha, nukta"
EN047,EN,latin,,0.0,10,The sky turned orange as soon as the sun set.,P47,
HI047,HI,devanagari,,0.0,10,सूरज ढलते ही आसमान पूरा नारंगी रंग का हो गया,P47,"dha, nasal"
EN048,EN,latin,,0.0,9,The students presented a play at the annual function.,P48,
HI048,HI,devanagari,,0.0,10,विद्यार्थियों ने वार्षिक समारोह में एक नाटक प्रस्तुत किया था,P48,"dy, rth, rsh, pr"
EN049,EN,latin,,0.0,8,The soil here is very fertile for farming.,P49,
HI049,HI,devanagari,,0.0,11,यहाँ की मिट्टी खेती के लिए बहुत उपजाऊ मानी जाती है,P49,"nasal aa, tt"
EN050,EN,latin,,0.0,11,He came home angry and slammed the door shut behind him.,P50,
HI050,HI,devanagari,,0.0,11,वह क्रोध में घर आया और दरवाज़ा ज़ोर से बंद किया,P50,"kr, nukta, nasal"
HGM001,HING_MIX,mixed,low,11.1,9,मैंने कल रात अपना project पूरा कर लिया था,H001,
HGR001,HING_ROM,latin,low,11.1,9,Maine kal raat apna project poora kar liya tha,H001,
HGM002,HING_MIX,mixed,low,10.0,10,डॉक्टर ने कहा कि मुझे यह medicine रोज़ लेनी है,H002,
HGR002,HING_ROM,latin,low,10.0,10,Doctor ne kaha ki mujhe yeh medicine roz leni hai,H002,
HGM003,HING_MIX,mixed,low,11.1,9,उसका interview अगले हफ़्ते सोमवार को होने वाला है,H003,
HGR003,HING_ROM,latin,low,11.1,9,Uska interview agle hafte Somvaar ko hone wala hai,H003,
HGM004,HING_MIX,mixed,low,11.1,9,बच्चे शाम को park में खेलने चले गए थे,H004,
HGR004,HING_ROM,latin,low,11.1,9,Bachche shaam ko park mein khelne chale gaye the,H004,
HGM005,HING_MIX,mixed,low,11.1,9,मुझे इस साल का result देखकर बहुत ख़ुशी हुई,H005,
HGR005,HING_ROM,latin,low,11.1,9,Mujhe is saal ka result dekhkar bahut khushi hui,H005,
HGM006,HING_MIX,mixed,low,11.1,9,हमारी flight सुबह छह बजे दिल्ली से रवाना होगी,H006,
HGR006,HING_ROM,latin,low,11.1,9,Hamari flight subah chhah baje Delhi se rawana hogi,H006,
HGM007,HING_MIX,mixed,low,11.1,9,उसने अपना नया phone कल बाज़ार से ख़रीदा था,H007,
HGR007,HING_ROM,latin,low,11.1,9,Usne apna naya phone kal bazaar se khareeda tha,H007,
HGM008,HING_MIX,mixed,low,11.1,9,मैं रोज़ सुबह जल्दी उठकर gym जाने लगा हूँ,H008,
HGR008,HING_ROM,latin,low,11.1,9,Main roz subah jaldi uthkar gym jaane laga hoon,H008,
HGM009,HING_MIX,mixed,low,11.1,9,यह movie देखने के बाद मुझे बहुत अच्छा लगा,H009,
HGR009,HING_ROM,latin,low,11.1,9,Yeh movie dekhne ke baad mujhe bahut achha laga,H009,
HGM010,HING_MIX,mixed,low,11.1,9,उसकी salary पिछले महीने से थोड़ी बढ़ गई है,H010,
HGR010,HING_ROM,latin,low,11.1,9,Uski salary pichhle mahine se thodi badh gayi hai,H010,
HGM011,HING_MIX,mixed,low,11.1,9,हमें कल तक यह form ज़रूर जमा करना होगा,H011,
HGR011,HING_ROM,latin,low,11.1,9,Hamein kal tak yeh form zaroor jama karna hoga,H011,
HGM012,HING_MIX,mixed,low,11.1,9,मेरे papa हर रविवार को सब्ज़ी लेने जाते हैं,H012,
HGR012,HING_ROM,latin,low,11.1,9,Mere papa har Ravivaar ko sabzi lene jaate hain,H012,
HGM013,HING_MIX,mixed,low,11.1,9,उसने अपनी car पिछले साल ही बेच दी थी,H013,
HGR013,HING_ROM,latin,low,11.1,9,Usne apni car pichhle saal hi bech di thi,H013,
HGM014,HING_MIX,mixed,low,11.1,9,यह building सोलह मंज़िल ऊँची और बहुत पुरानी है,H014,
HGR014,HING_ROM,latin,low,11.1,9,Yeh building solah manzil oonchi aur bahut purani hai,H014,
HGM015,HING_MIX,mixed,low,11.1,9,बारिश की वजह से आज school बंद कर दिया,H015,
HGR015,HING_ROM,latin,low,11.1,9,Baarish ki wajah se aaj school band kar diya,H015,
HGM016,HING_MIX,mixed,low,11.1,9,उसने मुझे कल रात एक लंबा message भेजा था,H016,
HGR016,HING_ROM,latin,low,11.1,9,Usne mujhe kal raat ek lamba message bheja tha,H016,
HGM017,HING_MIX,mixed,low,11.1,9,मेरी बहन अगले साल college में दाख़िला लेगी शायद,H017,
HGR017,HING_ROM,latin,low,11.1,9,Meri behen agle saal college mein daakhila legi shayad,H017,
HGM018,HING_MIX,mixed,low,11.1,9,उन्होंने घर का पूरा design ख़ुद तैयार किया था,H018,
HGR018,HING_ROM,latin,low,11.1,9,Unhone ghar ka poora design khud taiyaar kiya tha,H018,
HGM019,HING_MIX,mixed,low,10.0,10,यह train आज तीन घंटे देर से चल रही है,H019,
HGR019,HING_ROM,latin,low,10.0,10,Yeh train aaj teen ghante der se chal rahi hai,H019,
HGM020,HING_MIX,mixed,low,11.1,9,मुझे उसका address अभी तक नहीं मिल पाया है,H020,
HGR020,HING_ROM,latin,low,11.1,9,Mujhe uska address abhi tak nahi mil paaya hai,H020,
HGM021,HING_MIX,mixed,low,11.1,9,हमने पूरा हफ़्ता इस project पर मेहनत की थी,H021,
HGR021,HING_ROM,latin,low,11.1,9,Humne poora hafta is project par mehnat ki thi,H021,
HGM022,HING_MIX,mixed,low,11.1,9,मेरे दोस्त ने नया laptop कल ही ख़रीद लिया,H022,
HGR022,HING_ROM,latin,low,11.1,9,Mere dost ne naya laptop kal hi khareed liya,H022,
HGM023,HING_MIX,mixed,low,10.0,10,बच्चों की exam अगले महीने से शुरू हो रही है,H023,
HGR023,HING_ROM,latin,low,10.0,10,Bachchon ki exam agle mahine se shuru ho rahi hai,H023,
HGM024,HING_MIX,mixed,low,11.1,9,उसने अपना bag बस में ही छोड़ दिया था,H024,
HGR024,HING_ROM,latin,low,11.1,9,Usne apna bag bus mein hi chhod diya tha,H024,
HGM025,HING_MIX,mixed,low,11.1,9,यह दवा खाने के बाद fever कम हो जाएगा,H025,
HGR025,HING_ROM,latin,low,11.1,9,Yeh dawa khaane ke baad fever kam ho jayega,H025,
HGM026,HING_MIX,mixed,low,11.1,9,मैंने उसे कल शाम को एक email भेजा था,H026,
HGR026,HING_ROM,latin,low,11.1,9,Maine use kal shaam ko ek email bheja tha,H026,
HGM027,HING_MIX,mixed,low,11.1,9,हमारी team ने इस बार बहुत अच्छा प्रदर्शन किया,H027,
HGR027,HING_ROM,latin,low,11.1,9,Hamari team ne is baar bahut achha pradarshan kiya,H027,
HGM028,HING_MIX,mixed,low,10.0,10,उसका बड़ा भाई एक बड़ी company में काम करता है,H028,
