id,condition,mix_level,cmi,tag,secs,wer,cer,text,heard
HGM001,HING_MIX,low,11.1,hi,24.6,0.0,0.0,मैंने कल रात अपना project पूरा कर लिया था,मैंने कल रात अपना प्रोजेक्ट पूरा कर लिया था।
HGM001,HING_MIX,low,11.1,en,25.2,0.556,0.146,मैंने कल रात अपना project पूरा कर लिया था,"मेने केल राथ, अपना पोजेक्ट पूरा, केरलिया टाउन,"
HGM036,HING_MIX,medium,20.0,hi,27.3,0.3,0.156,कल की meeting cancel हो गई इसलिए मैं घर रहा,"कल की मेटिंग ठानसेल हो गई, इसलिए मैं घर रहा हूँ."
HGM036,HING_MIX,medium,20.0,en,28.5,0.3,0.089,कल की meeting cancel हो गई इसलिए मैं घर रहा,"कल की मीटिंग, कांसल हो, गयी इसलिया में घर रहा."
HGM071,HING_MIX,high,40.0,hi,29.7,0.5,0.161,मुझे कल जल्दी office जाकर morning meeting attend करनी है,मुझे कल चलिदी ओफिस जाकर मॉर्निंग मेटिंग आतिन करनी है।
HGM071,HING_MIX,high,40.0,en,32.4,0.6,0.179,मुझे कल जल्दी office जाकर morning meeting attend करनी है,"म्रजे केल, जिल्डी ओफिस जाकर, मॉर्निंग मीटिंग, आटन्ट करनी, हे."
HGR001,HING_ROM,low,11.1,hi,25.2,0.444,0.122,Maine kal raat apna project poora kar liya tha,मैंनी काई रात आमना प्रोजेक्ट पोरा कार लिया था।
HGR001,HING_ROM,low,11.1,en,22.5,0.111,0.024,Maine kal raat apna project poora kar liya tha,में काल राट अपना प्रोजेक्ट पूरा कार लिया ता.
HGR036,HING_ROM,medium,20.0,hi,40.4,1.2,1.022,Kal ki meeting cancel ho gayi isliye main ghar raha,"कल की मेथीन चैनसर हो, गाई बॉयन, जाना बॉयन ना नसीकार, इस्सो गोना डालो नाइना नहर."
HGR036,HING_ROM,medium,20.0,en,25.8,0.5,0.244,Kal ki meeting cancel ho gayi isliye main ghar raha,"कल की मीटिंग, कैंसल हो, गे यी इसलियर में, गारहा."
HGR071,HING_ROM,high,40.0,hi,34.0,1.5,0.857,Mujhe kal jaldi office jaakar morning meeting attend karni hai,"मुझे कार से ओवाई में, वांजे मुखी, कार नाने अमैठ को, बाइ नून्टी दूंडात माने अमैठा."
HGR071,HING_ROM,high,40.0,en,28.9,0.9,0.196,Mujhe kal jaldi office jaakar morning meeting attend karni hai,"मुझे का याल्डी, अफिस या कार, मॉर्निंग मीटिंग, अटेंट कार नी हाई"
